skinPublicPerception,,x,,,
CoRSA,,x,,,
offlimits,,x,,,
cilllia,,x,,,
delineatingsensing,,x,,,
spirocall,,x,,,
musonic,,x,,,
kediary,,x,,,
smartwatchinvivo,,x,,,
interactiveillus,,x,,,
bach,,x,,,
hiddentoolbars,,x,,,
postselection,,x,,,
doppio,,x,,,
fastcom,,x,,,
powershake,,x,,,
saywat,,x,,,
theateffect,,x,,,
tapboard,,x,,,
smartbackspace,,x,,,
symmetrisense,,x,,,
personalcompass,,x,,,
livingdesk,,x,,,
interactglasses,,x,,,
gestureperf,,x,,,
theflatfinger,,x,,,
lifelog,,x,,,
sensations,,x,,,
b2bswipe,,x,,,
serendipity,,x,,,
wearwrite,,x,,,
nontouch,,x,,,
watchwriter,,x,,,
tablehop,,x,,,
hapthimble,,x,,,
gauntlev,,x,,,
motionguidancesleeve,,x,,,
activibe,,x,,,
expressy,,x,,,
mgesture,,x,,,
empress,,x,,,
putwhatwhere,,x,,,
helpinghands,,x,,,
paralleleyes,,x,,,
stabanno,,x,,,
headmountproj,,x,,,
finexus,,x,,,
skintrack,,x,,,
fingerio,,x,,,
enhancedtouch,,x,,,
augfov,,x,,,
climbaware,,x,,,
gehna,,x,,,
acttrackses,,x,,,
optvibro,,x,,,
elasticvr,,x,,,
sweatsponse,,x,,,
electromyography,,x,,,
soundaware,,x,,,
truecolors,,x,,,
cogaid,,x,,,
bubble,,x,x,,
byteit,,x,,,
soundsad,,x,,,
freelivepark,,x,,,
flowinflate,,x,x,,
howel,,x,,,
wearableinthewild,,x,,,
picpass,,x,,,
netgenact,,x,,,
socialscarf,,x,,,
auflip,,x,,,
remindemo,,x,,,
hellobox,,x,,,
sig,,x,,,
techandfash,,x,,,
researchemotive,,x,x,,
tangilev,,x,,,
wearabilityhumbody,,x,,,
makefab,,x,,,
miceandpants,,x,,,
egovis,,x,,,
proprioceptive,,x,,,
lightaspire,,x,,,
vrgenderbias,,x,,,
willingshare,,x,,,
TouchSense,,x,,,
ultrasoundImprove,,x,,,
SeeSaw,,x,,,
Intra,,x,,,
languageHaptic,,x,,,
